Nombre,Numero de pokedex,Tipo primario,Tipo secundario,Puntos de salud,Puntos de ataque,Puntos de defensa,Puntos de ataque especial,Puntos de defensa especial,Puntos de velocidad
Bulbasaur,1,grass,poison,45,49,49,65,65,45
Ivysaur,2,grass,poison,60,62,63,80,80,60
Venusaur,3,grass,poison,80,82,83,100,100,80
Charmander,4,fire,,39,52,43,60,50,65
Charmeleon,5,fire,,58,64,58,80,65,80
Charizard,6,fire,flying,78,84,78,109,85,100
Squirtle,7,water,,44,48,65,50,64,43
Wartortle,8,water,,59,63,80,65,80,58
Blastoise,9,water,,79,83,100,85,105,78
Caterpie,10,bug,,45,30,35,20,20,45
Metapod,11,bug,,50,20,55,25,25,30
Butterfree,12,bug,flying,60,45,50,90,80,70
Weedle,13,bug,poison,40,35,30,20,20,50
Kakuna,14,bug,poison,45,25,50,25,25,35
Beedrill,15,bug,poison,65,90,40,45,80,75
Pidgey,16,normal,flying,40,45,40,35,35,56
Pidgeotto,17,normal,flying,63,60,55,50,50,71
Pidgeot,18,normal,flying,83,80,75,70,70,101
Rattata,19,normal,,30,56,35,25,35,72
Raticate,20,normal,,55,81,60,50,70,97
Spearow,21,normal,flying,40,60,30,31,31,70
Fearow,22,normal,flying,65,90,65,61,61,100
Ekans,23,poison,,35,60,44,40,54,55
Arbok,24,poison,,60,95,69,65,79,80
Pikachu,25,electric,,35,55,40,50,50,90
Raichu,26,electric,,60,90,55,90,80,110
Sandshrew,27,ground,,50,75,85,20,30,40
Sandslash,28,ground,,75,100,110,45,55,65
Nidoran-f,29,poison,,55,47,52,40,40,41
Nidorina,30,poison,,70,62,67,55,55,56
Nidoqueen,31,poison,ground,90,92,87,75,85,76
Nidoran-m,32,poison,,46,57,40,40,40,50
Nidorino,33,poison,,61,72,57,55,55,65
Nidoking,34,poison,ground,81,102,77,85,75,85
Clefairy,35,fairy,,70,45,48,60,65,35
Clefable,36,fairy,,95,70,73,95,90,60
Vulpix,37,fire,,38,41,40,50,65,65
Ninetales,38,fire,,73,76,75,81,100,100
Jigglypuff,39,normal,fairy,115,45,20,45,25,20
Wigglytuff,40,normal,fairy,140,70,45,85,50,45
Zubat,41,poison,flying,40,45,35,30,40,55
Golbat,42,poison,flying,75,80,70,65,75,90
Oddish,43,grass,poison,45,50,55,75,65,30
